city_served;ICAO;IATA;airport_name;usage;runway(s);lat;lon;passengers
Anderstorp ;ESMP ;;Anderstorp Airport ;Public ;(04/22,1000m,Asphalt);57.264167;13.601389;
Arboga ;ESQO ;;Arboga Airport ;Public ;(15/33,2000m,Asphalt);59.386389;15.923889;
Arvidsjaur ;ESNX ;AJR ;Arvidsjaur Airport ;Public ;(12/30,2500m,Asphalt);65.590278;19.281944;55355
Arvika ;ESKV ;;Arvika–Westlanda Airport ;Public ;(01/19,1150m,Asphalt);59.675007;12.639355;
Borlänge ;ESSD ;BLE ;Borlänge Airport (Dala Airport) ;Public ;(14/32,2310m,Asphalt);60.421944;15.515;10375
Borås ;ESGE ;;Viared Airport ;Public ;(04/22,800m,Asphalt);57.696811;12.845863;
Dala-Järna ;ESKD ;;Dala-Järna Airport ;Public ;(03/21,900m,Asphalt);60.552586;14.374097;
Emmaboda ;ESMA ;;Emmaboda Airport ;Public ;(01/19,1300m,Asphalt);56.616426;15.608558;
Eskilstuna ;ESSU ;EKT ;Eskilstuna Airport ;Public ;(18/36,1886m,Asph./Conc.);59.3512;16.708333;
Eslöv ;ESME ;;Eslöv Airport ;Public ;(04/22,630m,Grass),(15/33,650m,Grass);55.849326;13.329366;
Falköping ;ESGK ;;Falköping Airport ;Public ;(04/22,1316m,Asphalt);58.175278;13.591667;
Gimo ;ESKA ;;Lunda Airfield ;Public ;(05/23,800m,Paved);60.129722;18.097222;
Gothenburg ;ESGG ;GOT ;Göteborg Landvetter Airport ;Public ;(03/21,3299m,Paved);57.6632;12.291111;5192054
Gothenburg ;ESGP ;GSE ;Göteborg City Airport (Säve) ;Public ;(01/19,2039m,Asphalt),(04/22,871m,Asphaltclosed);57.775556;11.870556;
Gällivare ;ESNG ;GEV ;Gällivare Airport ;Public ;(12/30,1714m,Asphalt);67.133056;20.812222;26888
Gävle / Sandviken ;ESSK ;GVX ;Gävle–Sandviken Airport ;Public ;(18/36,2000m,Asphalt);60.594444;16.951111;
Hagfors ;ESOH ;HFS ;Hagfors Airport ;Public ;(18/36,1509m,Asphalt);60.022638;13.5786;2460
Hagshult ;ESMV ;;Hagshult Airbase ;Military ;(04/22,2050m,Asphalt);57.287536;14.128618;
Hallviken ;ESNA ;;Hallviken Airport ;Public ;(14/32,1000m,Asphalt);63.736922;15.461772;
Halmstad ;ESMT ;HAD ;Halmstad City Airport ;Public ;(01/19,2261m,Asphalt);56.690833;12.82;83818
Hede ;ESNC ;;Hedlanda Airport ;Public ;(06/24,1000m,Asphalt);62.409674;13.743725;
Hemavan ;ESUT ;HMV ;Hemavan Airport ;Public ;(15/33,1472m,Asphalt);65.806111;15.082778;15307
Hudiksvall ;ESNH ;HUV ;Hudiksvall Airport ;Public ;(12/30,1320m,Asphalt);61.766667;17.084167;
Hultsfred / Vimmerby ;ESSF ;HLF ;Hultsfred–Vimmerby Airport ;Public ;(12/30,1945m,Concrete);57.521392;15.833739;
Idre ;ESUE ;IDB ;Idre Airport ;Private ;(15/33,1558m,Asphalt);61.869722;12.689167;
Jokkmokk ;ESNJ ;;Jokkmokk Airbase ;Military ;(14/32,1311m,Asphalt);66.502845;20.135248;
Jönköping ;ESGJ ;JKG ;Jönköping Airport ;Public ;(01/19,2203m,Asphalt),(11/29,600m,Grass);57.758333;14.071667;21854
Kalmar ;ESMQ ;KLR ;Kalmar Airport ;Public ;(16/34,2050m,Asphalt),(05/23,980m,Asphalt);56.685278;16.2875;113488
Karlsborg ;ESIA ;;Karlsborg Airbase ;Military ;(06/24,2300m,Asphalt);58.518074;14.523284;
Karlskoga ;ESKK ;KSK ;Karlskoga Airport ;Public ;(03/21,1499m,Asphalt);59.340874;14.492015;
Karlstad ;ESOK ;KSD ;Karlstad Airport ;Public ;(03/21,2516m,Asphalt);59.44472;13.3375;20463
Kiruna ;ESNQ ;KRN ;Kiruna Airport ;Public ;(03/21,2502m,Asphalt);67.822222;20.336667;217228
Kosta ;ESFQ ;;Kosta Airbase ;Military ;(2000m,Paved);56.8445015;15.4527998;
Kramfors ;ESNK ;KRF ;Höga Kusten Airport (Kramfors-Sollefteå) ;Public ;(17/35,2001m,Asphalt);63.048611;17.768889;9174
Kristianstad ;ESMK ;KID ;Kristianstad Airport (Kristianstad Österlen Airport) ;Public ;(01/192,215mAsphalt);55.911944;14.083333;16236
Landskrona ;ESML ;;Landskrona Airport ;Public ;(12R/30L,1180m,Asphalt),(12L/30R,1050m,Grass);55.946601;12.868487;
Laxå ;ESSH ;;Laxå Airport ;Public ;(03/21,900m,Asphalt);58.979135;14.666811;
Lidköping ;ESGL ;LDK ;Lidköping–Hovby Airport ;Public ;(06/24,1990m,Asphalt);58.465278;13.174167;
Linköping ;ESCF ;;Malmen Airbase ;Military ;(01/19,2214m,Asphalt),(08/26,1870m,Asphalt);58.39778;15.52278;
Linköping ;ESSL ;LPI ;Linköping/Saab Airport ;Public ;(11/29,2130m,Asphalt);58.408333;15.672778;118542
Ljungby ;ESMG ;;Feringe Airport ;Public ;(01/19,1150m,Asphalt);56.953654;13.922758;
Ljungbyhed ;ESTL ;;Ljungbyhed Airport ;Public ;(11L/29R,2010m,Asphalt),(11R/29L,2214m,Asphalt);56.082606;13.198127;
Ludvika ;ESSG ;;Ludvika Airport ;Public ;(01/19,819m,Paved);60.088136;15.096125;
Luleå ;ESPA ;LLA ;Luleå/Kallax Airport ;Public/Mil. ;(14/32,3350m,Asphalt);65.543611;22.121944;1035925
Lycksele ;ESNL ;LYC ;Lycksele Airport ;Public ;(14/32,2090m,Asphalt);64.548056;18.716111;17216
Malmö ;ESMS ;MMX ;Malmö Airport ;Public ;(17/35,2800m,Asphalt),(11/29,797m,Asphalt);55.5364;13.371389;1297141
Malung ;ESVM ;;Skinnlanda Airport ;Public ;(16/34,800m,Asphalt);60.6586;13.727117;
Mellansel ;ESUI ;;Mellansel Airport ;Public ;(09/27,795m,Grass);63.391838;18.323703;
Mohed ;ESUM ;;Mohed Airport ;Public ;(12/30,800m,Asphalt);61.2912;16.8463;
Mora ;ESKM ;MXX ;Mora–Siljan Airport ;Public ;(16/34,1814m,Asphalt);60.958611;14.511111;766
Norrköping ;ESSP ;NRK ;Norrköping Airport ;Public ;(09/27,2203m,Asphalt),(11/29,600m,Grass);58.586111;16.231667;64829
Optand ;ESNM ;;Optand Airport ;Public ;(18/36,1000m,Asphalt),(15/33,750m,Grass);"63.1286";14.8028;
Orsa ;ESNR ;;Orsa Airport ;Public ;(03/21,1000m,Asphalt),(15/33,900m,Grass);61.191022;14.71345;
Oskarshamn ;ESMO ;OSK ;Oskarshamn Airport ;Public ;(01/19,1500m,Asphalt);57.350544;16.496433;
Pajala ;ESUP ;PJA ;Pajala Airport ;Public ;(11/29,2302m,Asphalt);67.245556;23.068889;9206
Piteå ;ESNP ;;Piteå Airport ;Public ;(16/34,1000m,Asphalt);65.392135;21.265883;
Ronneby ;ESDF ;RNB ;Ronneby Airport (F 17) ;Public/Mil. ;(01/19,2331m,Asphalt);56.266667;15.265;110663
Råda ;ESFR ;;Råda Airbase ;Military ;(18/36,2000m,Asphalt);58.4981003;13.0531998;
Siljansnäs ;ESVS ;;Siljansnäs Airport ;Public ;(14R/32L,850m,Asphalt),(14L/32R,850m,Grass);60.784178;14.828782;
Skellefteå ;ESNS ;SFT ;Skellefteå Airport ;Public ;(10/28,2100m,Asphalt);64.624722;21.076944;347351
Skövde ;ESGR ;KVB ;Skövde Airport ;Public ;(01/19,1736m,Asphalt);58.456944;13.973056;
Smålandsstenar ;ESMY ;;Smålandsstenar Airport ;Public ;(04/22,800m,Asphalt);57.166784;13.437349;
Sollefteå ;ESNB ;;Sollefteå Airport ;Public ;(14/32,820m,Asphalt);63.171176;16.985632;
Stockholm / Nyköping ;ESKN ;NYO ;Stockholm–Skavsta Airport ;Public ;(08/26,2878m,Asphalt),(16/34,2039m,Asphalt);58.788611;16.912222;685269
Stockholm / Västerås ;ESOW ;VST ;Stockholm–Västerås Airport (Hasslo) ;Public ;(01/19,2581m,Asphalt);59.589444;16.633611;83587
Stockholm ;ESSA ;ARN ;Stockholm–Arlanda Airport ;Public ;(01L/19R,3301m,Conc./Asph.),(01R/19L,2500m,Asphalt),(08/26,2500m,Conc./Asph.);59.651944;17.918611;21845031
Stockholm ;ESSB ;BMA ;Stockholm–Bromma Airport ;Public ;(12/30,1668m,Asphalt);59.354444;17.939722;1190507
Storuman ;ESUD ;SQO ;Storuman Airport ;Public ;(15/33,2283m,Asph./Conc.);64.960833;17.696389;
Sundsvall / Härnösand ;ESNN ;SDL ;Sundsvall–Timrå Airport ;Public ;(16/34,1950m,Asphalt);62.528056;17.443889;62251
Sveg ;ESND ;EVG ;Sveg Airport ;Public ;(09/27,1700m,Asphalt);62.047778;14.422778;6579
Sälen / Trysil ;ESKS ;SCR ;Scandinavian Mountains Airport (Sälen Trysil Airport) ;Public ;(15/33,2500m,Asphalt);61.158583;12.842422;19064
Såtenäs ;ESIB ;;Såtenäs Airbase ;Military ;(01/19,2264m,Asphalt),(11/29,1933m,Asphalt);58.4263992;12.7144003;
Söderhamn ;ESNY ;SOO ;Söderhamn Airport ;Public ;(12/30,2524m,Asphalt);61.261389;17.098333;
Tierp ;ESKT ;;Tierp Airport ;Public ;(16/34,1000m,Asphalt);60.347238;17.420755;
Torsby ;ESST ;TYF ;Torsby Airport (Fryklanda Airport) ;Public ;(16/34,1591m,Asphalt);60.154722;12.994444;2152
Trollhättan / Vänersborg ;ESGT ;THN ;Trollhättan–Vänersborg Airport ;Public ;(15/33,1710m,Asphalt);58.324167;12.336389;16085
Umeå ;ESNU ;UME ;Umeå Airport ;Public ;(14/32,2302m,Asphalt);63.791944;20.282778;685885
Uppsala ;ESCM ;;Uppsala Airport / Ärna Airbase (F 16) ;Public/Mil. ;(03/21,1905m,Asphalt),(08/26,2010m,Asphalt);59.897222;17.588611;
Vidsel ;ESPE ;;Vidsel Airbase ;Military ;(11/29,2230m,Asphalt);65.880026;20.12713;
Vilhelmina ;ESNV ;VHM ;Vilhelmina Airport ;Public ;(10/28,1502m,Asphalt);64.578889;16.833333;11618
Visby ;ESSV ;VBY ;Visby Airport ;Public ;(03/21,2000m,Asphalt),(10/28,1100m,Grass);57.662778;18.346111;318064
Vårgårda ;ESGO ;;Vårgårda Airport ;Private ;(04/22,700m,Asphalt);58.039544;12.786207;
Västervik ;ESSW ;VVK ;Västervik Airport ;Public ;(15L/33R,800m,Asphalt),(15R/33L,800m,Grass);57.779722;16.523889;
Västerås ;ESSX ;;Johannisberg Airport ;Public ;(05/23,850m,Asphalt);59.577777;16.507898;
Växjö ;ESMX ;VXO ;Växjö/Kronoberg Airport ;Public ;(01/19,2103m,Asphalt);56.928889;14.727778;167363
Ängelholm / Helsingborg ;ESTA ;AGH ;Ängelholm–Helsingborg Airport ;Public ;(14/32,1945m,Asphalt);56.296111;12.847222;223653
Örebro ;ESOE ;ORB ;Örebro Airport ;Public ;(01/19,3270m,Asphalt);59.223611;15.038056;80694
Örnsköldsvik ;ESNO ;OER ;Örnsköldsvik Airport ;Public ;(12/30,2014m,Asphalt);63.408333;18.99;28003
Östersund ;ESNZ ;OSD ;Åre Östersund Airport (F4 Frösön Airbase) ;Public ;(12/30,2500m,Asphalt);63.194167;14.501944;253468
